RandomSeed,Nr. Cluster,Eps,Linkage,Threshold,Max. Iter,Min Samples,ID,Dataset,Cluster,Time Taken (seg),Accuracy Score,Purity Score,Adjusted Rand Index,Jaccard Score
,1,,,0.1,,,197,Pen-Based,Birch,2.9154233932495117,0.6985080058224163,0.6985080058224163,0.541091644278345,0.5366978889976234
,,,,,100,,198,Pen-Based,Mean Shift,156.64047861099243,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
10,,,,,100,,199,Pen-Based,Affinity Propagation,109.45903587341309,0.9750727802037845,0.9750727802037845,0.9458528581853768,0.9513580685247648
,,0.1,,,,0.1,200,Pen-Based,Optics,26.58078646659851,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
57,1.5,,,,150,,201,Pen-Based,K-means,0.027965784072875977,0.8417940320232896,0.8417940320232897,0.7068467433154836,0.7268085774880214
,1.5,0.5,,,,,202,Pen-Based,DBScan,0.2898099422454834,0.12445414847161572,0.12445414847161573,0.0009613095952146111,0.06635622817229336
,1.5,,Complete,,,,203,Pen-Based,Agglomerative Clustering - Complete,3.590585470199585,0.6433770014556041,0.6433770014556043,0.4642337117403397,0.4742489270386266
57,1.5,,,,,,204,Pen-Based,Spectral Clustering,18.901653051376343,0.8153202328966521,0.8153202328966522,0.6535532462712175,0.6882199354937798
,1.5,,,0.5,,,205,Pen-Based,Birch,0.24114608764648438,0.6505640465793304,0.6505640465793305,0.5093024225941004,0.48210072136452503
,,,,,150,,206,Pen-Based,Mean Shift,161.0748200416565,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
57,,,,,150,,207,Pen-Based,Affinity Propagation,109.82026672363281,0.9750727802037845,0.9750727802037845,0.9458528581853768,0.9513580685247648
,,0.5,,,,0.3,208,Pen-Based,Optics,28.865511894226074,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
965,2,,,,300,,209,Pen-Based,K-means,0.040831565856933594,0.8634461426491994,0.8634461426491995,0.7395702497627535,0.7597054350436244
,2,1.0,,,,,210,Pen-Based,DBScan,0.5901577472686768,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
,2,,Average,,,,211,Pen-Based,Agglomerative Clustering - Average,3.737807035446167,0.7310771470160117,0.7310771470160116,0.6075325040074482,0.5761399483796961
965,2,,,,,,212,Pen-Based,Spectral Clustering,19.210195779800415,0.8487081513828238,0.8487081513828238,0.71836791796547,0.7371789806400633
,2,,,1.0,,,213,Pen-Based,Birch,0.12471127510070801,0.6390101892285298,0.6390101892285298,0.4968102097413466,0.46951871657754013
,,,,,300,,214,Pen-Based,Mean Shift,164.7502362728119,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
965,,,,,300,,215,Pen-Based,Affinity Propagation,110.04685401916504,0.9750727802037845,0.9750727802037845,0.9458528581853768,0.9513580685247648
,,1.0,,,,0.5,216,Pen-Based,Optics,31.844798803329468,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
7821,3,,,,500,,217,Pen-Based,K-means,0.046501874923706055,0.8751819505094615,0.8751819505094613,0.7580320723681849,0.7780653510190877
,3,1.5,,,,,218,Pen-Based,DBScan,4.087977409362793,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
,3,,Single,,,,219,Pen-Based,Agglomerative Clustering - Single,1.1417598724365234,0.11644832605531295,0.11644832605531295,0.0004078397667173842,0.061823802163833076
7821,3,,,,,,220,Pen-Based,Spectral Clustering,25.641520977020264,0.8586244541484717,0.8586244541484717,0.7276772473003317,0.7522716403634625
,3,,,1.5,,,221,Pen-Based,Birch,0.14061856269836426,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
,,,,,500,,222,Pen-Based,Mean Shift,194.20351719856262,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
7821,,,,,500,,223,Pen-Based,Affinity Propagation,123.90057706832886,0.9750727802037845,0.9750727802037845,0.9458528581853768,0.9513580685247648
,,1.5,,,,0.8,224,Pen-Based,Optics,36.814292430877686,0.10407569141193596,0.10407569141193596,0.0,0.05489443378119002
